sub_id,articulacion,candidato,r_crudo,r_cal,rmse_cal
42,cadera,Zhao,0.945488712217118,0.945488712217118,8.25331762053811
1,rodilla,Koopman,0.97253078975279,0.97253078975279,5.8468202890517
2,rodilla,Koopman,0.98253284170844,0.98253284170844,10.9305345378139
3,rodilla,Koopman,0.946845144751127,0.946845144751127,6.39695723358605
4,rodilla,Koopman,0.919239944638764,0.919239944638764,10.0221454627925
5,rodilla,Koopman,0.971187417320863,0.971187417320862,4.78101345670605
6,rodilla,Koopman,0.932029747094348,0.932029747094348,7.53787338625619
7,rodilla,Koopman,0.971840423636424,0.971840423636424,8.48097265757303
8,rodilla,Koopman,0.949076815235928,0.949076815235928,6.79782422802408
9,rodilla,Koopman,0.962407887680528,0.962407887680528,5.86390841573642
10,rodilla,Koopman,0.932473353294638,0.932473353294639,7.27967252377787
11,rodilla,Koopman,0.790637604902323,0.790637604902323,12.0376584237817
12,rodilla,Koopman,0.978376974572552,0.978376974572552,4.14607299422757
13,rodilla,Koopman,0.932968888757326,0.932968888757326,7.28044257065202
14,rodilla,Koopman,0.985249580808808,0.985249580808808,4.49743355797882
15,rodilla,Koopman,0.936998474051588,0.936998474051588,7.33869803266869
16,rodilla,Koopman,0.971464861887765,0.971464861887765,7.63126476083869
17,rodilla,Koopman,0.988755106545717,0.988755106545717,5.07608561981767
18,rodilla,Koopman,0.973173030187031,0.973173030187031,5.9312738548929
19,rodilla,Koopman,0.989897551234992,0.989897551234992,7.00752087078205
20,rodilla,Koopman,0.964161200386016,0.964161200386016,5.47216653672663
21,rodilla,Koopman,0.898366339280436,0.898366339280436,9.08149409797219
22,rodilla,Koopman,0.937952038502405,0.937952038502405,6.84348050653034
23,rodilla,Koopman,0.962197388187711,0.962197388187711,6.49188739121777
24,rodilla,Koopman,0.905892982150657,0.905892982150657,8.54807488841706
25,rodilla,Koopman,0.982821260013032,0.982821260013031,3.7414864845386
26,rodilla,Koopman,0.984279840900278,0.984279840900278,4.26528561160621
27,rodilla,Koopman,0.96463000302274,0.96463000302274,10.6903951788809
28,rodilla,Koopman,0.992212956204339,0.992212956204339,2.51326004753901
29,rodilla,Koopman,0.911190482872272,0.911190482872272,8.25185555956779
30,rodilla,Koopman,0.953829852152718,0.953829852152718,7.36165539924041
31,rodilla,Koopman,0.955393565357092,0.955393565357092,5.91440082261785
32,rodilla,Koopman,0.993486851859074,0.993486851859074,2.36621655422037
33,rodilla,Koopman,0.926107860546638,0.926107860546638,8.06739872681305
34,rodilla,Koopman,0.977671877176584,0.977671877176584,7.24711491452137
35,rodilla,Koopman,0.992312677398887,0.992312677398887,13.2231171527845
36,rodilla,Koopman,0.96801205979721,0.96801205979721,5.27206954541522
